Frequency[MHz],Re[Z_Ohm],Im[Z_Ohm]
40.056327,0.709974,28.337342
40.677000,0.806244,28.914388
41.307291,0.897871,29.250487
41.947348,0.964823,29.928452
42.597323,0.790374,30.446290
43.257369,0.910453,31.030703
43.927643,0.931322,31.574988
44.608302,0.949881,32.369452
45.299508,1.229718,32.651700
46.001425,1.133273,33.268111
46.714218,1.008019,33.879329
47.438055,1.269050,34.521758
48.173109,1.434558,35.165026
48.919552,1.372696,36.015517
49.677561,1.166761,36.723534
50.447316,1.321785,37.226958
51.228998,1.550803,37.921726
52.022792,1.409780,38.792151
52.828886,1.584044,39.449735
53.647470,1.679082,40.348926
54.478739,1.573895,41.108205
55.322888,1.728805,41.761153
56.180117,1.482199,42.915814
57.050629,1.779070,43.813557
57.934629,1.935284,44.471281
58.832327,1.918896,45.419253
59.743935,2.294423,46.440210
60.669668,2.080347,47.428156
61.609746,2.276529,48.474580
62.564390,2.436125,49.656229
63.533826,2.675421,50.518113
64.518284,2.502092,51.572460
65.517995,2.882977,52.668618
66.533198,2.895762,53.927531
67.564131,2.932308,55.233389
68.611038,3.220629,56.696596
69.674167,3.347186,57.792721
70.753770,3.429747,59.243854
71.850100,3.669667,60.649446
72.963419,3.808393,62.255381
74.093988,4.054818,63.934018
75.242076,4.319619,65.236147
76.407953,4.636565,66.915456
77.591895,4.594719,68.815746
78.794183,5.189844,70.603136
80.015100,5.058584,72.625313
81.254935,5.537002,74.492724
82.513982,5.932708,76.486586
83.792537,6.249435,78.771424
85.090904,6.535077,81.122646
86.409389,6.984276,83.511572
87.748304,7.398888,86.026055
89.107965,7.871876,88.766671
90.488695,8.542716,91.612557
91.890819,9.070262,94.633927
93.314668,9.598371,97.740293
94.760581,10.454527,101.035134
96.228897,11.164800,104.658958
97.719966,12.067818,108.595289
99.234138,12.997183,112.486130
100.771773,13.908846,116.989188
102.333233,15.120602,121.621479
103.918888,16.584697,126.733840
105.529113,18.078489,132.334231
107.164288,19.728399,138.156909
108.824801,21.699583,144.589154
110.511043,24.065581,151.480216
112.223413,26.481913,159.389814
113.962317,29.629407,167.843776
115.728165,33.117492,177.341346
117.521374,37.337091,187.461815
119.342370,42.517680,199.072594
121.191582,48.593942,212.028202
123.069447,56.059199,226.754911
124.976410,65.363692,243.120563
126.912922,76.879355,261.985139
128.879440,91.840467,283.552130
130.876429,111.152110,308.202183
132.904361,137.037271,336.409093
134.963716,172.115282,368.514269
137.054981,221.016859,403.872400
139.178650,290.478527,439.622216
141.335226,389.871455,468.859438
143.525218,530.052276,472.307433
145.749143,708.325066,412.267685
148.007528,879.603588,240.033368
150.300907,941.250097,-32.738235
152.629822,841.119755,-287.145286
154.994824,659.619210,-426.685846
157.396471,489.234839,-465.607598
159.835332,360.533007,-452.661559
162.311983,269.828944,-420.293337
164.827010,206.690371,-384.380075
167.381007,161.878617,-349.872100
169.974579,129.710968,-318.512875
172.608338,105.690635,-291.270363
175.282906,87.553666,-267.460756
177.998918,73.671731,-246.461623
180.757014,62.807319,-228.272262
183.557847,53.983537,-212.309065
186.402079,46.895624,-198.188670
189.290382,41.213387,-185.349578
192.223439,36.413874,-174.081234
195.201945,32.318256,-164.004660
198.226602,28.922992,-154.636862
201.298126,26.095971,-146.600044
204.417244,23.439539,-139.050334
207.584693,21.291781,-132.011413
210.801221,19.488382,-125.552014
214.067589,17.900589,-119.622229
217.384570,16.512111,-114.206614
220.752947,15.355291,-109.071131
224.173518,14.163580,-104.501131
227.647090,13.055156,-99.810573
231.174486,12.169228,-95.819756
234.756538,11.263611,-91.806315
238.394094,10.635840,-88.215879
242.088015,9.953896,-84.740764
245.839172,9.422996,-81.450976
249.648454,8.771735,-78.353085
253.516761,8.419805,-75.376861
257.445007,8.079004,-72.491427
261.434122,7.512655,-69.915751
265.485048,7.197550,-67.292522
269.598743,6.892918,-64.907505
273.776180,6.480063,-62.387753
278.018346,6.266095,-60.322577
282.326245,5.993467,-57.880459
286.700895,5.773612,-55.945727
291.143330,5.479646,-54.035114
295.654600,5.372550,-51.892799
300.235773,5.251887,-50.045010
304.887931,5.196999,-48.016677
309.612175,5.014566,-46.337493
314.409620,5.016972,-44.531352
319.281403,4.623650,-42.928774
324.228673,4.701663,-41.072455
329.252602,4.561870,-39.587206
334.354376,4.706562,-37.846955
339.535203,4.365766,-35.978448
344.796306,4.336785,-34.360062
350.138930,4.350463,-32.794515
355.564339,4.203652,-31.342431
361.073814,4.385799,-29.665330
366.668659,4.402401,-28.077663
372.350195,4.552056,-26.607383
378.119768,4.650093,-24.748300
383.978740,4.904398,-23.205900
389.928496,4.936799,-21.693323
395.970445,4.935767,-20.022969
402.106013,5.085213,-18.329805
408.336652,5.439594,-16.843428
414.663835,5.512164,-14.908513
421.089058,6.125287,-13.143848
427.613840,6.409237,-11.305267
434.239723,6.653406,-9.289253
440.968275,7.008704,-7.051418
447.801085,7.879261,-5.036725
454.739770,8.397482,-2.910507
461.785971,9.320698,-0.412463
468.941352,9.976318,2.212343
476.207605,11.201891,4.891104
483.586450,12.623512,7.744359
491.079630,14.287753,10.860244
498.688917,16.283219,14.464642
506.416110,18.938779,18.225258
514.263035,21.984737,22.421972
522.231549,26.188548,26.917458
530.323536,31.546798,31.836231
538.540907,38.596836,36.803427
546.885608,47.939406,42.065065
555.359609,60.213228,46.292715
563.964915,76.649588,48.649388
572.703561,97.822704,45.701307
581.577611,121.481540,34.402194
590.589166,142.347165,10.301380
599.740355,151.614718,-24.148058
609.033341,143.300665,-58.848856
618.470323,122.805569,-83.525831
628.053530,98.854431,-95.667344
637.785230,77.883700,-98.776247
647.667722,61.080873,-96.988035
657.703344,48.171453,-92.770457
667.894468,38.769239,-87.616698
678.243504,31.565500,-82.665075
688.752898,26.175318,-78.058363
699.425135,21.721215,-73.734678
710.262739,18.576408,-69.757932
721.268271,15.980461,-66.117159
732.444335,13.575439,-63.032994
743.793572,11.899307,-60.014773
755.318665,10.381840,-57.483995
767.022340,9.363768,-54.842014
778.907364,8.455466,-52.589506
790.976546,7.677965,-50.656940
803.232740,6.801683,-48.565832
815.678845,6.324046,-47.101811
828.317802,5.473028,-45.506902
841.152599,4.959660,-43.830568
854.186272,4.701421,-42.340179
867.421903,4.371412,-40.957335
880.862619,3.997509,-39.932427
894.511600,3.497549,-38.611630
908.372071,3.429673,-37.621626
922.447311,3.069074,-36.592644
936.740647,3.050606,-35.498685
951.255459,2.824679,-34.582905
965.995177,2.516202,-33.912164
980.963288,2.396659,-32.754904
996.163330,2.193862,-31.950971
1011.598897,2.157584,-31.373435
1027.273639,2.134428,-30.526064
1043.191260,1.825235,-29.801525
1059.355526,1.867926,-29.138549
1075.770257,1.666148,-28.559824
1092.439334,1.548702,-27.936891
1109.366699,1.532582,-27.260401
1126.556354,1.360937,-26.550439
1144.012363,1.335619,-26.043657
1161.738853,1.202591,-25.584627
1179.740016,1.454699,-24.938091
1198.020106,1.201675,-24.784948
1216.583447,1.071838,-23.886261
1235.434427,1.110305,-23.691509
1254.577504,1.027935,-23.084749
1274.017203,0.970250,-22.705275
1293.758120,1.009639,-22.280738
1313.804923,0.982345,-21.605680
1334.162351,0.814230,-21.350971
1354.835218,0.772532,-20.863389
1375.828412,0.767439,-20.507465
1397.146896,0.531443,-20.070220
1418.795709,0.578540,-19.735370
1440.779972,0.836789,-19.506039
1463.104881,0.836153,-18.921972
1485.775715,0.619724,-18.723637
1508.797833,0.676581,-18.491043
1532.176680,0.625592,-18.047457
1555.917783,0.879064,-17.531661
1580.026754,0.660941,-17.281351
1604.509294,0.515032,-17.093146
1629.371191,0.412084,-16.792129
1654.618324,0.327724,-16.495060
1680.256662,0.490311,-15.967455
1706.292266,0.376743,-15.855493
1732.731293,0.293338,-15.575352
1759.579992,0.354822,-15.245915
1786.844712,0.295932,-15.061381
1814.531900,0.558064,-14.853031
1842.648101,0.463398,-14.594009
1871.199964,0.360910,-14.334000
1900.194237,0.496735,-14.088092
1929.637778,0.344041,-13.774051
1959.537546,0.238246,-13.608838
1989.900612,0.465237,-13.312626
2020.734154,0.355823,-13.170329
2052.045463,0.187651,-12.935146
2083.841941,0.262200,-12.927849
2116.131105,0.183926,-12.425568
2148.920591,0.123839,-12.275766
2182.218150,0.345729,-12.007766
2216.031656,0.435388,-12.198182
2250.369102,0.096255,-11.504447
2285.238608,0.284387,-11.535618
2320.648417,0.155304,-11.222772
2356.606902,0.164222,-11.252980
2393.122564,0.146536,-10.906498
2430.204037,0.112481,-10.895207
2467.860087,0.197088,-10.677559
2506.099619,0.102739,-10.252248
2544.931674,0.206709,-10.294267
2584.365431,0.168691,-10.088012
2624.410215,0.144084,-9.860246
2665.075494,0.071690,-9.738057
2706.370882,0.099434,-9.615768
2748.306142,0.227503,-9.440248
2790.891191,0.197089,-9.085027
2834.136095,0.044449,-9.182387
2878.051079,0.147511,-9.010349
2922.646527,0.208251,-8.781750
2967.932983,-0.038140,-8.635087
3013.921152,0.178973,-8.488180
3060.621909,0.054354,-8.406621
3108.046295,0.173793,-8.450726
3156.205523,0.036656,-8.041287
3205.110979,-0.071130,-8.189696
3254.774225,-0.056898,-7.917412
3305.207004,0.107281,-7.897857
3356.421240,0.125175,-7.705694
3408.429042,0.005611,-7.545312
3461.242705,0.156846,-7.426977
3514.874717,-0.076118,-7.299823
3569.337757,0.080570,-7.065486
3624.644704,-0.036685,-7.068249
3680.808632,0.016563,-7.026630
3737.842821,0.083905,-6.796250
3795.760756,-0.009374,-6.665954
3854.576131,0.035797,-6.801668
3914.302850,0.172545,-6.514905
3974.955036,0.011966,-6.401966
4036.547029,0.151038,-6.400946
4099.093390,-0.047618,-6.134364
4162.608909,0.116286,-6.189295
4227.108601,0.205481,-6.065665
4292.607717,-0.187757,-6.001015
4359.121743,-0.022138,-5.889159
4426.666405,0.113463,-5.908850
4495.257673,0.033713,-5.853204
4564.911763,0.089450,-5.461169
4635.645145,-0.009692,-5.618155
4707.474541,0.057789,-5.546832
4780.416935,0.032036,-5.578635
4854.489573,0.162904,-5.344142
4929.709968,0.070137,-5.330828
5006.095903,0.077069,-4.953890
5083.665440,0.000780,-4.937961
5162.436919,-0.008092,-5.029864
5242.428962,-0.003845,-4.659147
5323.660484,0.077637,-4.710770
5406.150689,-0.005086,-4.767177
5489.919082,0.064847,-4.911556
5574.985467,0.242302,-4.360596
5661.369957,0.120803,-4.657855
5749.092976,0.000049,-4.613761
5838.175264,0.151767,-4.278384
5928.637885,-0.010136,-4.069163
6020.502225,-0.174085,-4.108268
6113.790004,-0.071996,-4.124905
6208.523279,-0.159152,-4.057446
6304.724448,-0.008082,-3.968214
6402.416255,0.028079,-3.915288
6501.621798,0.193076,-3.901663
6602.364533,0.057344,-3.858923
6704.668279,0.001985,-3.816107
6808.557222,0.106103,-3.826677
6914.055926,-0.198661,-3.721695
7021.189335,0.045326,-3.806168
7129.982777,0.098184,-3.590836
7240.461976,-0.127407,-3.624860
7352.653051,0.134201,-3.582214
7466.582529,0.053068,-3.400562
7582.277346,-0.022898,-3.226875
7699.764857,0.081339,-3.222583
7819.072838,0.244578,-3.420606
7940.229498,0.035160,-3.312449
8063.263482,0.041277,-3.070116
8188.203880,-0.029984,-3.213912
8315.080232,-0.069519,-3.090349
8443.922535,0.098026,-2.965843
8574.761251,-0.071073,-3.071373
8707.627315,0.021248,-2.918407
8842.552142,-0.034104,-3.017459
8979.567630,0.061143,-2.899998
9118.706176,0.046207,-2.764372
9260.000676,0.116203,-2.912809
9403.484536,-0.038932,-2.667284
9549.191681,-0.015285,-2.671768
9697.156560,-0.086531,-2.573669
9847.414158,-0.033430,-2.566271
10000.000000,0.048395,-2.412613
